Word,Category
Balvinder,Person
Carina,Person
Datavid,Company
MiroClaw,Product
Silvia,Person
superwhisper,Product
Susurrus,Product
Harnadh,Person
Elaine,Person
SAAS,Acronym
Trust Signals,Project
RNs,Acronym
242 C3,Project
react-dev,Technical
CAS,Acronym
Lead's,Project
Subha,Person
Jayendra,Person
BioFinder,Product
QAS,Acronym
prescribers,Project
Evoca,Product
SPARQL,Technical
Lech,Person
SciFinder,Product
MatFinder,Product
APIs,Technical
MarkLogic,Technical
Harandh,Person
CoRB,Technical
Schengen,Place
Gaurav,Person
